REF_AREA;Coğrafi Kapsam;FREQ;Gözlem Sıklığı;INDICATOR;İstatistiksel Gösterge;AY;Ay (DESC);YAKIT_TUR;Yakıt Türü;UNIT_MEASURE;Ölçü Birimi;Zaman (TIME_PERIOD);Gözlem;DONUSUM;Zaman Serisi Dönüşümü;ZAMAN_BICIMI;Zaman Formatı;UNIT_MULT;Birim Çarpanı;CONF_STATUS;Gizlilik Durumu;GOZLEM_DURUMU;Gözlem Durumu;ONDALIK;Ondalık Basamak Sayısı
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2025-01;30.35;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2024-01;28.91;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2023-01;26.94;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2022-01;25.62;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2021-01;24.55;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2020-01;24.17;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2019-01;24.87;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2018-01;25.85;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2017-01;26.Tem;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2016-01;27.56;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2015-01;28.82;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2014-01;30.94;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2013-01;33.65;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2012-01;37.08;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2011-01;41.91;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2010-01;47.17;;;;;;;;;;;;
